과정명,레벨,소요 시간,제공 방법,설명,과정 목표,수강 대상,수강 전 권장 사항,모듈 수,실습 수
이전에 클라우드 컴퓨팅이나 AWS를 사용해 본 적은 없어도 됨,,,,,,,,0,0
AWS Well-Architected Best Practices,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 교육 과정은 AWS Well-Architected Framework와 6개의 핵심 요소에 대한 심층 분석을 제공하도록 구성되었습니다. 또한 이 과정에서는 Well-Architected 검토 프로세스와 AWS Well-Architected Tool을 사용하여 검토를 완료하는 방법을 다룹니다.
이 과정은 원래 1 Day 과정이지만, 실습 중심의 과정으로 실습 시간 확대와 고객 사례를 기반으로 하는 아키텍처 모범 사례를 추가하여 2 Days 일정으로 조정한 커스텀 과정입니다.","워크로드 정의 및 주요 개념
AWS Well-Architected Framework 검토 단계, 프로세스, 모범 사례 및 안티 패턴
고위험 및 중위험 파악
AWS Well-Architected 워크플로에 대한 개선 우선순위 지정
AWS Well-Architected Framework 백서, 실습, AWS 솔루션 라이브러리의 사전 구축된 솔루션, AWS Well-Architected Independent Software Vendor(ISV) 및 AWS Well-Architected 파트너 프로그램(WAPP) 찾기 및 활용","솔루션스 아키텍트
클라우드 실무자
데이터 엔지니어
데이터 과학자
개발자",,0,0
핵심 AWS 설계 및 아키텍처에 대한 지식 (과정: Architecting on AWS),,,,,,,,0,0
이 과정의 수강생들은 토론을 통해 직접 AWS 아키텍처의 모범사례를 논의하고 검토할 수 있는 역량을 검증할 수 있습니다.,중급,2일,"강의식 교육(ILT), 실습 및 그룹 활동",,"Well-Architected Framework의 특징, 설계 원칙, 설계 핵심 요소 및 일반적인 용도 파악
Well-Architected Framework의 각 핵심 요소에 설계 원칙, 주요 서비스 및 모범 사례 적용
Well-Architected Tool을 사용하여 Well-Architected 검토 수행","AWS 솔루션의 설계, 구축 및 실행에 관여하는 기술 전문가",핵심 AWS 서비스에 대한 지식 (과정: AWS Cloud Practitioner Essentials),0,0
핵심 AWS 설계 및 아키텍처에 대한 지식 (과정: Architecting on AWS),,,,,,,,0,0
Building Batch Data Analytics Solutions on AWS,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정에서는 엔터프라이즈급 Apache Spark 및 Apache Hadoop 관리형 서비스인 Amazon EMR을 통해 배치 데이터 분석 솔루션을 빌드하는 방법을 학습합니다. Amazon EMR를 Apache Hive, Hue, HBase 등의 오픈 소스 프로젝트와 통합하는 방법, AWS Glue 및 AWS Lake Formation 등의 AWS 서비스와 통합하는 방법을 알아봅니다. 이 과정에서는 Spark 및 Hadoop의 맥락에서 데이터 수집, 흡수, 카탈로그화, 저장, 처리 구성 요소를 다룹니다. 수강생은 EMR Notebooks를 사용하여 분석 및 머신러닝 워크로드를 지원하는 방법을 배웁니다. 또한 Amazon EMR 운영에 보안, 성능, 비용 관리 모범 실무를 적용하는 방법도 배우게 됩니다.","데이터 웨어하우스, 데이터 레이크, 현대적 데이터 아키텍처의 기능 및 이점 비교
배치 데이터 분석 솔루션 설계 및 구현
압축을 포함한 적절한 기술을 파악하고 적용하여 데이터 스토리지 최적화
데이터 흡수, 변환 및 저장을 위한 적절한 옵션 선택 및 배포
특정 비즈니스 용례에 적합한 인스턴스 및 노드 유형, 클러스터, 오토스케일링 및 네트워크 토폴로지 선택
데이터 저장 및 처리가 실행 가능한 비즈니스 인사이트 획득에 필요한 분석 및 시각화 메커니즘에 미치는 영향 이해
저장 데이터 및 전송 데이터 보안
분석 워크로드를 모니터링하여 문제 파악 및 해결
비용 관리 모범 실무 적용","데이터 플랫폼 엔지니어
데이터 분석 파이프라인을 구축하고 관리하는 아키텍트 및 운영자","본 과정은 Apache Spark 또는 Apache Hadoop 등의 오픈 소스 데이터 프레임워크를 1년 이상 관리한 경험이 있는 수강생에게 도움이 됩니다.
Apache Hadoop을 다시 공부하고 싶은 분들께는 AWS Hadoop Fundamentals 과정을 권장합니다.
이 과정을 수강하기 전에 다음 조건을 갖추는 것을 권장합니다.",0,0
Building Data Lakes on AWS 또는 Getting Started with AWS Glue 이수,,,,이 과정에서는 정형 데이터와 비정형 데이터 분석을 모두 지원하는 운영 데이터 레이크를 구축하는 방법에 대해 알아봅니다. 데이터 레이크 생성 관련 서비스의 구성 요소와 기능에 대해 배우게 됩니다. AWS Lake Formation을 이용해 데이터 레이크를 구축하고 AWS Glue를 이용해 데이터 카탈로그를 만들며 Amazon Athena를 이용해 데이터를 분석합니다. 강의와 실습을 통해 여러 일반적인 데이터 레이크 아키텍처를 살펴보면서 지식을 심화합니다.,"데이터 레이크 계획 및 설계에 데이터 레이크 방법론 적용
AWS 데이터 레이크 구축에 필요한 구성 요소 및 서비스 설명
적절한 권한을 바탕으로 데이터 레이크 보호
데이터 레이크에 있는 데이터 수집, 저장, 변환
데이터 레이크 내의 데이터 쿼리, 분석, 시각화","데이터 플랫폼 엔지니어
솔루션스 아키텍트
IT 전문가",,0,0
Building Data Analytics Solutions Using Amazon Redshift,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정에서는 클라우드 기반 데이터 웨어하우스 서비스인 Amazon Redshift를 사용하여 데이터 분석 솔루션을 구축합니다. 이 과정에서는 분석 파이프라인의 데이터 수집, 흡수, 카탈로그화, 스토리지, 처리 구성 요소를 중점적으로 다룹니다. Amazon Redshift를 데이터 레이크와 결합하여 분석 워크로드와 머신러닝 워크로드를 모두 지원하는 방법을 배우게 됩니다. 또한 Amazon Redshift 운영에 보안, 성능, 비용 관리 모범 실무를 적용하는 방법도 배웁니다.","데이터 웨어하우스, 데이터 레이크, 현대적 데이터 아키텍처의 기능 및 이점 비교
데이터 웨어하우스 분석 솔루션 설계 및 구현
압축을 포함한 적절한 기술을 식별하고 적용하여 데이터 스토리지 최적화
데이터 흡수, 변환 및 저장을 위한 적절한 옵션 선택 및 배포
특정 비즈니스 용례에 적합한 인스턴스 및 노드 유형, 클러스터, 오토 스케일링 및 네트워크 토폴로지 선택
데이터 스토리지 및 처리가 실행 가능한 비즈니스 인사이트 획득에 필요한 분석 및 시각화 메커니즘에 미치는 영향 이해
저장 데이터 및 전송 데이터 보안
분석 워크로드를 모니터링하여 문제 식별 및 해결
비용 관리 모범 실무 적용","데이터 웨어하우스 엔지니어
데이터 플랫폼 엔지니어
데이터 분석 파이프라인을 구축하고 관리하는 아키텍트 및 운영자",,0,0
Building Data Lakes on AWS 이수,,,,,,,,0,0
Building Data Lakes on AWS,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동",,,,,0,0
Build Modern Applications with AWS NoSQL Databases,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정의 대상은 데이터 특징이 복합적이고 데이터베이스에 밀리초 성능이 필요한 애플리케이션을 개발하려는 개발자, 아키텍트 및 데이터베이스 엔지니어입니다. 이 과정에서는 AWS 목적별 데이터베이스를 사용하여 다양한 액세스 패턴과 실시간 크기 조정이 가능한 대표적인 현대적 애플리케이션을 빌드합니다. 강좌를 마치면 Amazon DynamoDB, Amazon DocumentDB(Mongo 호환) 및 Amazon ElastiCache for Redis의 고급 기능을 설명할 수 있습니다.","AWS 목적별 NoSQL 데이터베이스를 사용하여 클라우드를 위한 현대적 애플리케이션 빌드
키-값, 문서 및 메모리 내 데이터 범주를 처리하는 AWS 목적별 데이터베이스를 사용하는 솔루션 설명
비즈니스 사용 사례를 분석하고 Amazon DynamoDB의 고급 기능을 적용하여 확장 가능 솔루션 구현
비즈니스 사용 사례를 분석하고 Amazon ElastiCache의 고급 기능을 적용하여 확장 가능 솔루션 구현
비즈니스 사용 사례를 분석하고 Amazon DocumentDB의 고급 기능을 적용하여 확장 가능 솔루션 구현
변경 스트림 및 AWS Lambda를 사용하여 이벤트 중심 아키텍처 구현
Amazon CodeWhisperer를 사용하여 더 빠르게 솔루션을 빌드하는 방법 알아보기","데이터베이스 개발자
Solutions Architect
데이터베이스 엔지니어","클라우드 컴퓨팅 개념에 대한 지식
관계형 또는 NoSQL 데이터베이스의 데이터 모델링에 대한 지식
Amazon DynamoDB 테이블 디자인 실무 경험
Amazon DocumentDB 테이블 디자인 실무 경험
ElastiCache for Redis 실무 경험
AWS Lambda 및 Amazon API Gateway 데이터베이스 서비스에 대한 지식
Python 스크립팅에 대한 지식
등록
https://www.aws.training/SessionSearch?pageNumber=1&courseId=143472",0,0
Building Streaming Data Analytics Solutions on AWS,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정에서는 Amazon Kinesis와 Amazon Managed Streaming for Apache Kafka(Amazon MSK)를 포함한 AWS 서비스를 사용하여 스트리밍 데이터 분석 솔루션을 구축하는 방법을 배웁니다. Amazon Kinesis는 확장성이 뛰어나고 내구성이 있는 실시간 데이터 스트리밍 서비스입니다. Amazon MSK는 안전하고 가용성이 뛰어난 완전관리형 Apache Kafka 서비스를 제공합니다. Kinesis와 Amazon MSK가 AWS Glue와 AWS Lambda 같은 AWS 서비스와 어떻게 통합되는지 알아봅니다. 이 과정에서는 데이터 분석 파이프라인의 스트리밍 데이터 수집, 스트림 스토리지, 스트림 처리 구성 요소를 다룹니다. 또한 보안, 성능, 비용 관리 모범 사례를 Kinesis 및 Amazon MSK 운영에 적용하는 방법도 알아봅니다.","현대적 데이터 아키텍처의 기능과 이점을 이해하고 AWS 스트리밍 서비스가 현대적 데이터 아키텍처에 어떻게 부합하는지 학습
스트리밍 데이터 분석 솔루션 설계 및 구현
압축, 샤딩, 파티셔닝 등 적절한 기법을 식별하고 적용하여 데이터 스토리지 최적화
실시간 및 준실시간 데이터 수집, 변환, 저장에 적합한 옵션 선택 및 배포
특정 비즈니스 사용 사례에 적합한 스트림, 클러스터, 주제, 크기 조정 방법, 네트워크 토폴로지 선택
데이터 스토리지 및 처리가 실행 가능한 비즈니스 인사이트 획득에 필요한 분석 및 시각화 메커니즘에 미치는 영향 이해
저장 스트리밍 데이터 및 전송 스트리밍 데이터 보호
분석 워크로드를 모니터링하여 문제 식별 및 해결
비용 관리 모범 사례 적용","데이터 엔지니어 및 아키텍트
실시간 애플리케이션과 스트리밍 데이터 분석 솔루션을 구축하고 관리하려는 개발자",1년 이상의 데이터 분석 경험 또는 실시간 애플리케이션이나 스트리밍 분석 솔루션을 직접 구축한 경험. 스트리밍 개념 복습이 필요한 수강생에게는 Streaming Data Solutions on AWS 백서를 추천합니다.,0,0
Building Data Lakes on AWS 이수,,,,,,,,0,0
Cloud Operations on AWS (구 Systems Operations on AWS),중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정에서는 클라우드 운영자와 클라우드 운영 기능을 수행하는 사용자를 대상으로 AWS에서 네트워크와 클라우드의 자동화 및 반복 가능한 배포를 관리하고 운영하는 방법을 학습합니다. 관련 서비스, 네트워크, 클라우드 설치, 구성, 자동화, 모니터링, 보안, 유지 관리, 문제 해결 등 클라우드 운영 기능에 대해 배우게 됩니다. 또한 이러한 기능과 관련된 특정 AWS 기능, 도구, 모범 사례도 다룹니다.","Well-Architected Framework의 핵심 요소인 운영 우수성의 여러 단계를 지원하는 AWS 서비스 파악
AWS 계정 및 조직과 AWS Identity and Access Management(IAM)를 사용하여 AWS 리소스에 대한 액세스 관리
AWS Systems Manager, AWS CloudTrail, AWS Config 등 AWS 서비스를 사용하여 사용 중인 AWS 리소스의 인벤토리 유지 관리
메타데이터 태그, Amazon Machine Image(AMI), AWS Control Tower를 사용하여 AWS 클라우드 환경을 배포 및 유지 관리하는 리소스 배포 전략 개발
AWS CloudFormation과 AWS Service Catalog 등 AWS 서비스를 사용하여 리소스 배포 자동화
AWS 서비스를 사용하여 배포 및 패치 등 클라우드 운영 수명 주기 프로세스를 통해 AWS 리소스 관리
Amazon Route 53과 Elastic Load Balancing 등 AWS 서비스를 사용한 트래픽 라우팅으로 대기 시간과 성능을 최적화하는 고가용성 클라우드 환경 구성
AWS Auto Scaling 및 Amazon EC2 Auto Scaling을 구성하여 수요에 따라 클라우드 환경 확장
Amazon CloudWatch 및 관련 기능(예: 경보, 대시보드, 위젯)을 사용하여 클라우드 환경 모니터링
AWS CloudTrail 및 AWS Config 등 AWS 서비스를 사용하여 클라우드 환경에서 권한 관리 및 활동 추적
Amazon Virtual Private Cloud(Amazon VPC)에 리소스를 배포하고, 필요한 Amazon VPC 연결을 설정하고, 서비스 중단으로부터 리소스 보호
AWS 클라우드 환경에서 탑재 가능한 스토리지의 용도, 이점, 적절한 사용 사례 명시
Amazon Simple Storage Service(Amazon S3)와 Amazon S3 Glacier 등 AWS 클라우드 객체 스토리지의 운영 특징 설명
AWS Cost Explorer와 AWS Cost & Usage Report 같은 서비스를 사용하여 클라우드 비용을 수집, 최적화, 예측하는 데 도움이 되는 종합적 비용 모델 구축","AWS 클라우드에서 작업하는 클라우드 관리자 및 운영자
클라우드 운영에 대한 지식을 쌓고 싶은 IT 업계 종사자",,0,0
